2025-04-26 22:42:29,727 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:42:39,888 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:42:50,052 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:43:00,222 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:43:10,380 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:43:20,544 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:43:30,774 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:43:40,958 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:43:51,131 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:43:53,924 | apscheduler.executors.default | INFO | Running job "analysis_M5 (trigger: interval[0:05:00], next run at: 2025-04-26 21:48:53 UTC)" (scheduled at 2025-04-26 21:43:53.919304+00:00)
2025-04-26 22:43:54,178 | apscheduler.executors.default | INFO | Job "analysis_M5 (trigger: interval[0:05:00], next run at: 2025-04-26 21:48:53 UTC)" executed successfully
2025-04-26 22:44:01,382 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:44:11,573 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:44:21,741 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:44:31,921 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:44:42,093 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:44:52,321 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:45:02,499 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:45:12,701 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:45:22,903 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:45:33,058 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:45:43,221 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:45:53,398 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:46:03,576 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
